16568	911	18	6	2008-09-07	27	29	2	2........	.........	\N	24.00	\N	\N	2010-07-06 12:43:14.186441	2010-07-06 12:43:14.186441	4	\N	\N
16569	603	18	7	2008-09-07	30	32	2	.......4.	.........	\N	24.00	\N	\N	2010-07-06 12:43:14.221021	2010-07-06 12:43:14.221021	4	\N	\N
16570	615	18	7	2008-09-07	29	31	2	.........	....4....	\N	8.00	\N	\N	2010-07-06 12:43:14.255775	2010-07-06 12:43:14.255775	2	\N	\N
16571	572	18	5	2008-09-07	36	35	-1	.4.......	.........	\N	0.00	\N	\N	2010-07-06 12:43:14.290465	2010-07-06 12:43:14.290465	3	\N	\N
16572	605	18	7	2008-09-07	26	27	1	\N	\N	\N	8.00	\N	\N	2010-07-06 12:43:14.325124	2010-07-06 12:43:14.325124	1	\N	\N
16573	595	18	7	2008-09-07	31	34	3	...3.....	.........	\N	0.00	\N	\N	2010-07-06 12:43:14.360341	2010-07-06 12:43:14.360341	3	\N	\N
16574	585	18	7	2008-09-07	31	30	-1	.........	....4....	\N	0.00	\N	\N	2010-07-06 12:43:14.397038	2010-07-06 12:43:14.397038	5	\N	\N
16575	629	18	7	2008-09-07	30	31	1	...3.....	.........	\N	8.00	\N	\N	2010-07-06 12:43:14.432242	2010-07-06 12:43:14.432242	2	\N	\N
16576	574	18	7	2008-09-07	21	20	-1	\N	\N	\N	8.00	\N	\N	2010-07-06 12:43:14.467418	2010-07-06 12:43:14.467418	1	\N	\N
16577	827	18	6	2008-09-07	24	24	0	.4.......	.........	\N	0.00	\N	\N	2010-07-06 12:43:14.501447	2010-07-06 12:43:14.501447	5	\N	\N
16578	611	19	7	2008-09-06	30	30	0	..3......	.........	\N	13.00	\N	\N	2010-07-06 12:43:14.536663	2010-07-06 12:43:14.536663	2	\N	\N
16579	578	19	6	2008-09-06	28	25	-3	\N	\N	\N	0.00	\N	\N	2010-07-06 12:43:14.571851	2010-07-06 12:43:14.571851	3	\N	\N
